Sepal_Lenght,Sepal_Width,Petal_Length,Petal_Width,Class,Length mean,Sepal_Area
5.1,3.5,1.4,0.2,Iris-setosa,3.25,17.849999999999998
4.9,3.0,1.4,0.2,Iris-setosa,3.1500000000000004,14.700000000000001
4.7,3.2,1.3,0.2,Iris-setosa,3.0,15.040000000000001
4.6,3.1,1.5,0.2,Iris-setosa,3.05,14.26
5.0,3.6,1.4,0.2,Iris-setosa,3.2,18.0
5.4,3.9,1.7,0.4,Iris-setosa,3.5500000000000003,21.060000000000002
4.6,3.4,1.4,0.3,Iris-setosa,3.0,15.639999999999999
5.0,3.4,1.5,0.2,Iris-setosa,3.25,17.0
4.4,2.9,1.4,0.2,Iris-setosa,2.9000000000000004,12.76
4.9,3.1,1.5,0.1,Iris-setosa,3.2,15.190000000000001
5.4,3.7,1.5,0.2,Iris-setosa,3.45,19.980000000000004
4.8,3.4,1.6,0.2,Iris-setosa,3.2,16.32
4.8,3.0,1.4,0.1,Iris-setosa,3.0999999999999996,14.399999999999999
4.3,3.0,1.1,0.1,Iris-setosa,2.7,12.899999999999999
5.8,4.0,1.2,0.2,Iris-setosa,3.5,23.2
5.7,4.4,1.5,0.4,Iris-setosa,3.6,25.080000000000002
5.4,3.9,1.3,0.4,Iris-setosa,3.35,21.060000000000002
5.1,3.5,1.4,0.3,Iris-setosa,3.25,17.849999999999998
5.7,3.8,1.7,0.3,Iris-setosa,3.7,21.66
5.1,3.8,1.5,0.3,Iris-setosa,3.3,19.38
5.4,3.4,1.7,0.2,Iris-setosa,3.5500000000000003,18.36
5.1,3.7,1.5,0.4,Iris-setosa,3.3,18.87
4.6,3.6,1.0,0.2,Iris-setosa,2.8,16.56
5.1,3.3,1.7,0.5,Iris-setosa,3.4,16.83
4.8,3.4,1.9,0.2,Iris-setosa,3.3499999999999996,16.32
5.0,3.0,1.6,0.2,Iris-setosa,3.3,15.0
5.0,3.4,1.6,0.4,Iris-setosa,3.3,17.0
5.2,3.5,1.5,0.2,Iris-setosa,3.35,18.2
5.2,3.4,1.4,0.2,Iris-setosa,3.3,17.68
4.7,3.2,1.6,0.2,Iris-setosa,3.1500000000000004,15.040000000000001
4.8,3.1,1.6,0.2,Iris-setosa,3.2,14.879999999999999
5.4,3.4,1.5,0.4,Iris-setosa,3.45,18.36
5.2,4.1,1.5,0.1,Iris-setosa,3.35,21.32
5.5,4.2,1.4,0.2,Iris-setosa,3.45,23.1
4.9,3.1,1.5,0.1,Iris-setosa,3.2,15.190000000000001
5.0,3.2,1.2,0.2,Iris-setosa,3.1,16.0
5.5,3.5,1.3,0.2,Iris-setosa,3.4,19.25
4.9,3.1,1.5,0.1,Iris-setosa,3.2,15.190000000000001
4.4,3.0,1.3,0.2,Iris-setosa,2.85,13.200000000000001
5.1,3.4,1.5,0.2,Iris-setosa,3.3,17.34
5.0,3.5,1.3,0.3,Iris-setosa,3.15,17.5
4.5,2.3,1.3,0.3,Iris-setosa,2.9,10.35
4.4,3.2,1.3,0.2,Iris-setosa,2.85,14.080000000000002
5.0,3.5,1.6,0.6,Iris-setosa,3.3,17.5
5.1,3.8,1.9,0.4,Iris-setosa,3.5,19.38
4.8,3.0,1.4,0.3,Iris-setosa,3.0999999999999996,14.399999999999999
5.1,3.8,1.6,0.2,Iris-setosa,3.3499999999999996,19.38
4.6,3.2,1.4,0.2,Iris-setosa,3.0,14.719999999999999
5.3,3.7,1.5,0.2,Iris-setosa,3.4,19.61
5.0,3.3,1.4,0.2,Iris-setosa,3.2,16.5
7.0,3.2,4.7,1.4,Iris-versicolor,5.85,22.400000000000002
6.4,3.2,4.5,1.5,Iris-versicolor,5.45,20.480000000000004
6.9,3.1,4.9,1.5,Iris-versicolor,5.9,21.39
5.5,2.3,4.0,1.3,Iris-versicolor,4.75,12.649999999999999
6.5,2.8,4.6,1.5,Iris-versicolor,5.55,18.2
5.7,2.8,4.5,1.3,Iris-versicolor,5.1,15.959999999999999
6.3,3.3,4.7,1.6,Iris-versicolor,5.5,20.79
4.9,2.4,3.3,1.0,Iris-versicolor,4.1,11.76
6.6,2.9,4.6,1.3,Iris-versicolor,5.6,19.139999999999997
5.2,2.7,3.9,1.4,Iris-versicolor,4.55,14.040000000000001
5.0,2.0,3.5,1.0,Iris-versicolor,4.25,10.0
5.9,3.0,4.2,1.5,Iris-versicolor,5.050000000000001,17.700000000000003
6.0,2.2,4.0,1.0,Iris-versicolor,5.0,13.200000000000001
6.1,2.9,4.7,1.4,Iris-versicolor,5.4,17.689999999999998
5.6,2.9,3.6,1.3,Iris-versicolor,4.6,16.24
6.7,3.1,4.4,1.4,Iris-versicolor,5.550000000000001,20.77
5.6,3.0,4.5,1.5,Iris-versicolor,5.05,16.799999999999997
5.8,2.7,4.1,1.0,Iris-versicolor,4.949999999999999,15.66
6.2,2.2,4.5,1.5,Iris-versicolor,5.35,13.640000000000002
